2025 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Event:31496 Phase:FinalResults Generated:2025-06-16T10:38:57 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,318,Bean,8786,Richardson,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,449,46.72
ACT,318,Bean,109007,Special Hospital Team 1,41682,PRICE,Jessie,2,N,N,IND,Independent,130,43.92
ACT,318,Bean,109007,Special Hospital Team 1,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,166,56.08
ACT,318,Bean,8788,Tharwa,41682,PRICE,Jessie,2,N,N,IND,Independent,96,68.09
ACT,318,Bean,8788,Tharwa,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,45,31.91
ACT,318,Bean,11878,Theodore,41682,PRICE,Jessie,2,N,N,IND,Independent,604,50.25
ACT,318,Bean,11878,Theodore,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,598,49.75
ACT,318,Bean,98052,Torrens,41682,PRICE,Jessie,2,N,N,IND,Independent,428,50.71
ACT,318,Bean,98052,Torrens,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,416,49.29
ACT,318,Bean,32704,Tuggeranong BEAN PPVC,41682,PRICE,Jessie,2,N,N,IND,Independent,10128,49.68
ACT,318,Bean,32704,Tuggeranong BEAN PPVC,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,10260,50.32
ACT,318,Bean,8790,Wanniassa,41682,PRICE,Jessie,2,N,N,IND,Independent,816,52.75
ACT,318,Bean,8790,Wanniassa,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,731,47.25
ACT,318,Bean,8791,Wanniassa Hills,41682,PRICE,Jessie,2,N,N,IND,Independent,702,51.81
ACT,318,Bean,8791,Wanniassa Hills,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,653,48.19
ACT,318,Bean,8792,Waramanga,41682,PRICE,Jessie,2,N,N,IND,Independent,883,49.94
ACT,318,Bean,8792,Waramanga,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,885,50.06
ACT,318,Bean,83841,Waramanga West,41682,PRICE,Jessie,2,N,N,IND,Independent,355,50.57
ACT,318,Bean,83841,Waramanga West,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,347,49.43
ACT,318,Bean,8793,Weston,41682,PRICE,Jessie,2,N,N,IND,Independent,668,51.31
ACT,318,Bean,8793,Weston,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,634,48.69
ACT,318,Bean,32705,Woden BEAN PPVC,41682,PRICE,Jessie,2,N,N,IND,Independent,5879,49.2
ACT,318,Bean,32705,Woden BEAN PPVC,40676,SMITH,David,4,Y,Y,ALP,Australian Labor Party,6071,50.8
ACT,101,Canberra,8801,Ainslie North,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,844,-2.66
ACT,101,Canberra,8801,Ainslie North,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,1282,2.66
ACT,101,Canberra,8803,Aranda,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,543,-5.37
ACT,101,Canberra,8803,Aranda,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,1025,5.37
ACT,101,Canberra,8829,Barton,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,554,-7.99
